iter	Logloss
0	0.6423498542
1	0.595835983
2	0.5593233152
3	0.5255432666
4	0.4955022837
5	0.4690554941
6	0.4490600854
7	0.4281966048
8	0.4100870604
9	0.3954122767
10	0.3696408386
11	0.3511799102
12	0.3360852162
13	0.323794526
14	0.3124977095
15	0.3024028108
16	0.2938137954
17	0.2862689533
18	0.2790299233
19	0.2729063592
20	0.2677910115
21	0.2639312974
22	0.2601814943
23	0.2543559783
24	0.2496244883
25	0.2463166016
26	0.2444541967
27	0.2410258011
28	0.2383634063
29	0.2357411204
30	0.2336270183
31	0.2301016415
32	0.2270118238
33	0.2253965027
34	0.2232917987
35	0.220972959
36	0.2192040072
37	0.2174551672
38	0.216399801
39	0.2150364502
40	0.2128622209
41	0.2118560718
42	0.209119543
43	0.2069562075
44	0.2035947383
45	0.2022366691
46	0.2015995148
47	0.2006750491
48	0.1991242027
49	0.1977297845
50	0.196507784
51	0.1947722913
52	0.1937686219
53	0.1918456674
54	0.1902786682
55	0.188605634
56	0.1869475185
57	0.1857705719
58	0.1851172946
59	0.1836508201
60	0.1832609256
61	0.1818171058
62	0.180379117
63	0.1799310971
64	0.1786837319
65	0.1778453924
66	0.1772559707
67	0.1762806537
68	0.1742763806
69	0.1734175724
70	0.1728825551
71	0.171924232
72	0.1712305501
73	0.1700707145
74	0.1694598078
75	0.1682532112
76	0.1675783034
77	0.1670669516
78	0.1665774324
79	0.1659073482
80	0.1655540193
81	0.1651057736
82	0.164401983
83	0.1639068153
84	0.1632208435
85	0.1620324302
86	0.1616497712
87	0.161081658
88	0.1603498669
89	0.1592145801
90	0.158677118
91	0.1577818931
92	0.1568252488
93	0.1562814977
94	0.1558397472
95	0.1553688779
96	0.154307813
97	0.153774191
98	0.1536010798
99	0.1528553005
100	0.152107222
101	0.1516348452
102	0.1511814974
103	0.1504598424
104	0.1501035525
105	0.1496190687
106	0.148979614
107	0.1485562908
108	0.1482746933
109	0.1477240018
110	0.1471111972
111	0.1467344553
112	0.1461140996
113	0.1454668476
114	0.1450873294
115	0.1448904134
116	0.1445139055
117	0.1438661841
118	0.1437753872
119	0.1437689716
120	0.1431990485
121	0.1426705482
122	0.1422361067
123	0.1419552685
124	0.1418306733
125	0.1415043423
126	0.1413530156
127	0.1409004013
128	0.1402679346
129	0.1398248926
130	0.1397564781
131	0.1397034696
132	0.1395703911
133	0.1393537509
134	0.1393264068
135	0.1390525634
136	0.1387211807
137	0.1382711683
138	0.1377825478
139	0.1374849599
140	0.1373837786
141	0.1373077646
142	0.1370634962
143	0.136762945
144	0.1363313413
145	0.1363280643
146	0.1361826064
147	0.135935875
148	0.1356796274
149	0.1351974791
150	0.1349095173
151	0.1348425929
152	0.134445228
153	0.1340983791
154	0.1336012301
155	0.1332671178
156	0.1332030718
157	0.1329391145
158	0.1327636071
159	0.1326151462
160	0.1324471838
161	0.1323916111
162	0.1323651189
163	0.1319789507
164	0.1319630456
165	0.1317163304
166	0.1315820967
167	0.1314766376
168	0.1312691363
169	0.1310445572
170	0.1308050939
171	0.130572371
172	0.1302585159
173	0.1301009541
174	0.1300255136
175	0.1299747493
176	0.1297315947
177	0.1294890913
178	0.1294092751
179	0.1290720146
180	0.1287809797
181	0.128546408
182	0.1283203068
183	0.1283125754
184	0.1280820205
185	0.1279935357
186	0.1279222244
187	0.1276973721
188	0.1274587074
189	0.1273411237
190	0.127180789
191	0.1268637561
192	0.1266397988
193	0.1264559892
194	0.1261596799
195	0.1259510539
196	0.1258808095
197	0.1256800306
198	0.1255132739
199	0.1253099728
200	0.1251526763
201	0.1247769316
202	0.1246680542
203	0.124477615
204	0.1242402001
205	0.1240609719
206	0.1239379401
207	0.1237913449
208	0.1232764622
209	0.1231168975
210	0.1229757672
211	0.1229294013
212	0.1228509734
213	0.1226336015
214	0.1224718685
215	0.1222418563
216	0.122081376
217	0.1219527306
218	0.1217991704
219	0.121631512
220	0.121340251
221	0.1211891402
222	0.12106815
223	0.1209873469
224	0.1207950439
225	0.1206756938
226	0.120415649
227	0.1202246251
228	0.1201574628
229	0.1199046096
230	0.1197366019
231	0.1193492594
232	0.1191282704
233	0.1189930699
234	0.1188606145
235	0.1187201813
236	0.11859682
237	0.1185568948
238	0.1184276186
239	0.1181921707
240	0.1180930657
241	0.1180717462
242	0.117957436
243	0.1179389387
244	0.117837525
245	0.1177192179
246	0.1175680345
247	0.1173820303
248	0.1172932004
249	0.1171692711
