iter	Passed	Remaining
0	80	80529
1	90	45058
2	101	33745
3	113	28181
4	121	24171
5	128	21266
6	138	19689
7	146	18172
8	154	17040
9	160	15928
10	175	15765
11	195	16126
12	210	15962
13	224	15814
14	234	15420
15	242	14930
16	249	14443
17	257	14031
18	265	13716
19	275	13476
20	288	13449
21	300	13342
22	311	13233
23	322	13119
24	333	13014
25	347	13015
26	363	13094
27	375	13035
28	387	12967
29	400	12940
30	416	13026
31	436	13209
32	448	13156
33	467	13296
34	479	13216
35	498	13349
36	508	13238
37	524	13288
38	550	13567
39	560	13445
40	587	13747
41	602	13734
42	614	13677
43	627	13632
44	638	13552
45	657	13645
46	666	13514
47	675	13389
48	682	13251
49	698	13262
50	706	13146
51	715	13046
52	723	12926
53	731	12807
54	738	12690
55	749	12632
56	758	12548
57	766	12448
58	776	12391
59	786	12316
60	794	12233
61	803	12159
62	813	12101
63	821	12020
64	831	11958
65	838	11871
66	847	11808
67	855	11729
68	864	11662
69	874	11620
70	881	11540
71	896	11553
72	907	11525
73	923	11552
74	940	11604
75	953	11595
76	969	11619
77	979	11580
78	986	11504
79	995	11443
80	1006	11415
81	1013	11340
82	1020	11272
83	1033	11265
84	1043	11237
85	1052	11183
86	1059	11119
87	1071	11102
88	1080	11063
89	1090	11026
90	1100	10989
91	1112	10984
92	1123	10957
93	1137	10966
94	1149	10946
95	1160	10931
96	1171	10901
97	1178	10845
98	1192	10848
99	1203	10833
100	1211	10779
101	1223	10770
102	1235	10762
103	1243	10710
104	1254	10693
105	1266	10683
106	1274	10636
107	1285	10614
108	1293	10573
109	1304	10552
110	1344	10769
111	1367	10839
112	1375	10793
113	1387	10785
114	1398	10759
115	1409	10744
116	1421	10726
117	1429	10688
118	1437	10639
119	1447	10613
120	1454	10566
121	1463	10532
122	1476	10529
123	1487	10511
124	1497	10481
125	1508	10465
126	1518	10436
127	1532	10438
128	1540	10400
129	1550	10376
130	1556	10328
131	1575	10361
132	1584	10330
133	1593	10295
134	1601	10263
135	1611	10238
136	1619	10199
137	1632	10197
138	1651	10226
139	1666	10234
140	1684	10263
141	1695	10246
142	1709	10247
143	1723	10242
144	1738	10249
145	1761	10305
146	1786	10369
147	1830	10539
148	1836	10490
149	1844	10450
150	1849	10399
151	1860	10377
152	1865	10328
153	1872	10286
154	1878	10243
155	1884	10193
156	1890	10152
157	1895	10103
158	1900	10053
159	1910	10032
160	1918	9996
161	1926	9967
162	1932	9921
163	1937	9876
164	1943	9835
165	1949	9793
166	1957	9763
167	1962	9719
168	1967	9676
169	1977	9654
170	1983	9613
171	1991	9586
172	1996	9546
173	2001	9503
174	2009	9472
175	2016	9442
176	2024	9411
177	2029	9371
178	2034	9329
179	2041	9298
180	2047	9262
181	2055	9236
182	2061	9202
183	2069	9176
184	2075	9141
185	2080	9106
186	2087	9076
187	2093	9040
188	2097	9001
189	2106	8979
190	2111	8943
191	2116	8907
192	2122	8875
193	2127	8840
194	2134	8812
195	2140	8782
196	2147	8754
197	2155	8731
198	2161	8701
199	2171	8685
200	2176	8652
201	2183	8626
202	2188	8591
203	2193	8560
204	2198	8526
205	2204	8498
206	2209	8465
207	2216	8441
208	2222	8411
209	2227	8380
210	2234	8355
211	2239	8323
212	2244	8291
213	2251	8270
214	2256	8239
215	2261	8209
216	2268	8184
217	2273	8155
218	2278	8126
219	2286	8105
220	2291	8076
221	2298	8056
222	2305	8032
223	2311	8007
224	2317	7984
225	2323	7959
226	2332	7942
227	2340	7923
228	2347	7904
229	2354	7881
230	2360	7859
231	2367	7838
232	2378	7828
233	2386	7811
234	2393	7792
235	2399	7768
236	2407	7750
237	2412	7723
238	2420	7706
239	2425	7680
240	2430	7655
241	2439	7640
242	2446	7619
243	2453	7601
244	2458	7574
245	2463	7549
246	2469	7527
247	2475	7504
248	2481	7482
249	2487	7463
